k,Outcome_label,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_q25,sws_median,sws_mean,sws_q75
3,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.7118233333333301,1.7530633333333299,1.7530633333333299,1.79430333333333
3,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.59046,1.68068666666667,1.7252244444444444,1.86604333333333
3,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.33414,3.698894,3.821656,4.329331
3,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925
3,sPTB,Postpartum,12,14,13,"[12.0,14.0)",1,1,3.988905,3.988905,3.988905,3.988905
3,sPTB,Postpartum,14,16,15,"[14.0,16.0)",2,2,3.2799115,4.193372,4.193372,5.1068325
3,sPTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,3.425857,3.425857,3.425857,3.425857
3,sPTB,Postpartum,26,28,27,"[26.0,28.0)",2,2,3.4765474999999997,3.6368359999999997,3.6368359999999997,3.7971245000000002
3,sPTB,Postpartum,28,30,29,"[28.0,30.0)",2,2,2.9705445,2.999497,2.999497,3.0284495000000002
3,sPTB,Postpartum,38,40,39,"[38.0,40.0)",1,1,3.561299,3.561299,3.561299,3.561299
3,sPTB,Postpartum,42,44,43,"[42.0,44.0)",1,1,2.575475,2.575475,2.575475,2.575475
3,sPTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,3.947721,3.947721,3.947721,3.947721
3,sPTB,Postpartum,52,54,53,"[52.0,54.0)",1,1,2.878971,2.878971,2.878971,2.878971
3,sPTB,Postpartum,58,60,59,"[58.0,60.0)",1,1,3.254268,3.254268,3.254268,3.254268
4,FTB,Prepartum,-24,-22,-23,"[-24.0,-22.0)",8,8,2.030916875,2.2925312499999997,2.3506665625,2.735311875
4,FTB,Prepartum,-22,-20,-21,"[-22.0,-20.0)",109,109,1.974645,2.4827025,2.5628667278287462,3.09143
4,FTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",216,216,1.948,2.3253475000000003,2.424069212962963,2.83505375
4,FTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",176,176,1.7311762499999999,2.0868975,2.18922796875,2.557819375
4,FTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",173,173,1.654085,1.977085,2.065892605973025,2.33428
4,FTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",105,105,1.62203,2.03778,2.1446700714285716,2.4446275
4,FTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",31,31,1.7154137500000002,2.0850375,2.106911370967742,2.34490875
4,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.6342287500000001,1.8523325,1.8253988636363636,1.9428787500000002
4,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.48896125,1.6990575,1.7291239285714286,1.76782
4,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.523225,1.52606,1.5320408333333333,1.53786625
4,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,3.132935,3.6215725,3.5090065,3.997644
4,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,2.9506765,3.420208,3.421609666666667,3.895045
4,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,3.13752675,3.4978805,3.5344868333333332,4.011367
4,FTB,Postpartum,12,14,13,"[12.0,14.0)",8,8,2.9942080000000004,3.215834,3.3900705,3.6481209999999997
4,FTB,Postpartum,14,16,15,"[14.0,16.0)",12,12,2.6592905,3.027723,3.119373583333333,3.3059647500000002
4,FTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,4.128421,4.128421,4.128421,4.128421
4,FTB,Postpartum,24,26,25,"[24.0,26.0)",2,2,2.7655024999999998,2.9738689999999997,2.9738689999999997,3.1822355
4,FTB,Postpartum,26,28,27,"[26.0,28.0)",11,11,2.8936605,3.158801,3.0945204545454548,3.1908835
4,FTB,Postpartum,28,30,29,"[28.0,30.0)",1,1,4.131779,4.131779,4.131779,4.131779
4,FTB,Postpartum,30,32,31,"[30.0,32.0)",2,2,3.5894285000000004,3.675975,3.675975,3.7625215
4,FTB,Postpartum,32,34,33,"[32.0,34.0)",1,1,3.71426,3.71426,3.71426,3.71426
4,FTB,Postpartum,34,36,35,"[34.0,36.0)",1,1,3.38197,3.38197,3.38197,3.38197
4,FTB,Postpartum,36,38,37,"[36.0,38.0)",1,1,3.812707,3.812707,3.812707,3.812707
4,FTB,Postpartum,38,40,39,"[38.0,40.0)",4,4,3.3804852499999996,3.8045419999999996,3.5100875,3.9341442499999997
4,FTB,Postpartum,40,42,41,"[40.0,42.0)",6,6,2.9781435,3.207904,3.1302891666666666,3.54823475
4,FTB,Postpartum,42,44,43,"[42.0,44.0)",2,2,3.17258075,3.2358725,3.2358725,3.29916425
4,FTB,Postpartum,44,46,45,"[44.0,46.0)",1,1,2.663547,2.663547,2.663547,2.663547
4,FTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,2.91082,2.91082,2.91082,2.91082
4,FTB,Postpartum,50,52,51,"[50.0,52.0)",3,3,3.241694,3.414548,3.3154019999999997,3.438683
4,FTB,Postpartum,52,54,53,"[52.0,54.0)",5,5,2.952814,3.250316,3.4484848,3.39502
4,FTB,Postpartum,54,56,55,"[54.0,56.0)",4,4,2.3213945000000002,2.685853,2.5685925,2.933051
4,sPTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",2,2,2.536541875,2.54217625,2.54217625,2.547810625
4,sPTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",17,17,1.730075,2.03365,2.2130960294117648,2.7092875
4,sPTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",27,27,1.8944625,2.3215475,2.380167222222222,2.77229
4,sPTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",24,24,1.81990125,2.092535,2.1399970833333333,2.3810287500000005
4,sPTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",21,21,1.5009175,2.220235,2.2435565476190478,2.913155
